ID1,HHID,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2024,      325605001,1,1,43,2,2021, 
2024,      325605801,1,2,82,10,2021, 
2024,      326008701,1,2,62,7,2020, 
2024,      326014501,1,1,45,2,2022, 
2024,      326410301,1,1,0,6,2020, 
2024,      326410801,1,2,15,7,2022,4
2024,      326513701,1,2,50,11,2023, 
2024,      326614601,1,2,75,1,2022, 
2024,      326614601,2,1,80,4,2023, 
2024,      326614901,1,2,76,8,2022, 
2024,      326706901,1,1,77,2,2020, 
2024,      327006401,1,1,52,4,2021, 
2024,      327006401,2,1,59,5,2022, 
2024,      327006401,3,2,84,12,2022, 
2024,      327007401,1,1,32,1,2021, 
2024,      327105501,1,1,84,2,2024, 
2024,      327208701,1,1,82,5,2020, 
2024,      327304101,1,1,34,6,2022, 
2024,      327304501,1,1,80,5,2022, 
2024,      327600501,1,1,74,10,2022, 
2024,      327612101,1,2,63,5,2021, 
2024,      327612101,2,1,65,6,2021, 
2024,      327704001,1,2,49,11,2019,4
2024,      327704001,2,1,54,5,2020, 
2024,      327708801,1,1,60,6,2020, 
2024,      327804201,1,2,86,3,2022, 
2024,      327804701,1,1,41,2,2024, 
2024,      327814101,1,2,53,7,2023, 
2024,      327911301,1,2,88,9,2023, 
2024,      327913701,1,1,49,3,2019, 
2024,      328009901,1,1,82,4,2021, 
2024,      328200802,1,1,54,10,2019, 
2024,      328503801,1,1,79,7,2022, 
2024,      328504201,1,2,80,2,2022, 
2024,      328605101,1,2,94,1,2021, 
2024,      329109901,1,1,23,5,2022, 
2024,      329202201,1,1,67,6,2021, 
2024,      329202801,1,2,83,3,2024, 
2024,      329414301,1,2,56,4,2022, 
2024,      329813801,1,1,82,1,2020, 
2024,      330009301,1,1,94,4,2020, 
2024,      330009301,2,2,89,10,2023, 
2024,      330109901,1,1,49,2,2020, 
2024,      330204101,1,1,92,11,2022, 
2024,      330316701,1,2,39,4,2021,4
2024,      330404301,1,1,88,11,2022, 
2024,      330600301,1,2,70,4,2019, 
