pdf_name,mes,mes_num,dia,mayorista,minorista
09_abril_2026.pdf,mar,3,27,6.25,7.53
09_abril_2026.pdf,mar,3,28,6.25,7.53
09_abril_2026.pdf,mar,3,29,6.25,7.53
09_abril_2026.pdf,mar,3,30,6.18,7.45
09_abril_2026.pdf,mar,3,31,6.05,7.45
09_abril_2026.pdf,abr,4,1,5.95,7.31
09_abril_2026.pdf,abr,4,2,5.95,7.31
09_abril_2026.pdf,abr,4,3,5.95,7.31
09_abril_2026.pdf,abr,4,4,5.95,7.31
09_abril_2026.pdf,abr,4,5,5.95,7.31
09_abril_2026.pdf,abr,4,6,5.93,7.19
09_abril_2026.pdf,abr,4,7,5.98,7.19
09_abril_2026.pdf,abr,4,8,6.08,7.08
09_abril_2026.pdf,mar,3,27,5.92,6.0
09_abril_2026.pdf,mar,3,28,6.33,5.97
09_abril_2026.pdf,mar,3,29,5.47,5.97
09_abril_2026.pdf,mar,3,31,5.47,5.82
09_abril_2026.pdf,abr,4,1,5.75,6.48
09_abril_2026.pdf,abr,4,2,5.73,6.48
09_abril_2026.pdf,abr,4,3,6.0,6.48
09_abril_2026.pdf,abr,4,4,5.95,6.48
09_abril_2026.pdf,abr,4,5,5.47,6.48
09_abril_2026.pdf,abr,4,6,5.79,6.48
09_abril_2026.pdf,abr,4,8,5.81,6.48
10_abril_2026.pdf,mar,3,28,6.25,7.53
10_abril_2026.pdf,mar,3,29,6.25,7.53
10_abril_2026.pdf,mar,3,30,6.18,7.45
10_abril_2026.pdf,mar,3,31,6.05,7.45
10_abril_2026.pdf,abr,4,1,5.95,7.31
10_abril_2026.pdf,abr,4,2,5.95,7.31
10_abril_2026.pdf,abr,4,3,5.95,7.31
10_abril_2026.pdf,abr,4,4,5.95,7.31
10_abril_2026.pdf,abr,4,5,5.95,7.31
10_abril_2026.pdf,abr,4,6,5.93,7.19
10_abril_2026.pdf,abr,4,7,5.98,7.19
10_abril_2026.pdf,abr,4,8,6.08,7.08
10_abril_2026.pdf,abr,4,9,6.2,7.08
10_abril_2026.pdf,mar,3,27,5.92,6.0
10_abril_2026.pdf,mar,3,28,6.33,5.97
10_abril_2026.pdf,mar,3,29,5.47,5.97
10_abril_2026.pdf,mar,3,31,5.47,5.82
10_abril_2026.pdf,abr,4,1,5.75,6.48
10_abril_2026.pdf,abr,4,2,5.73,6.48
10_abril_2026.pdf,abr,4,3,6.0,6.48
10_abril_2026.pdf,abr,4,4,5.95,6.48
10_abril_2026.pdf,abr,4,5,5.47,6.48
10_abril_2026.pdf,abr,4,6,5.79,6.48
10_abril_2026.pdf,abr,4,8,5.81,6.48
10_abril_2026.pdf,abr,4,9,6.02,6.48
12_diciembre_2025.pdf,nov,11,29,5.15,6.27
12_diciembre_2025.pdf,nov,11,30,5.15,6.27
12_diciembre_2025.pdf,dic,12,1,5.4,6.43
12_diciembre_2025.pdf,dic,12,2,5.65,6.43
12_diciembre_2025.pdf,dic,12,3,5.73,6.54
12_diciembre_2025.pdf,dic,12,4,5.73,6.54
12_diciembre_2025.pdf,dic,12,5,5.73,6.75
12_diciembre_2025.pdf,dic,12,6,5.73,6.75
12_diciembre_2025.pdf,dic,12,7,5.73,6.75
12_diciembre_2025.pdf,dic,12,8,5.73,6.79
12_diciembre_2025.pdf,dic,12,9,5.73,6.79
12_diciembre_2025.pdf,dic,12,10,5.68,6.86
12_diciembre_2025.pdf,dic,12,11,5.58,6.86
12_diciembre_2025.pdf,nov,11,30,5.13,4.23
12_diciembre_2025.pdf,dic,12,7,5.39,4.8
12_diciembre_2025.pdf,dic,12,9,5.18,4.8
12_diciembre_2025.pdf,dic,12,10,5.28,4.23
12_diciembre_2025.pdf,dic,12,11,5.04,6.73
13_abril_2026.pdf,mar,3,31,6.05,7.45
13_abril_2026.pdf,abr,4,1,5.95,7.31
13_abril_2026.pdf,abr,4,2,5.95,7.31
13_abril_2026.pdf,abr,4,3,5.95,7.31
13_abril_2026.pdf,abr,4,4,5.95,7.31
13_abril_2026.pdf,abr,4,5,5.95,7.31
13_abril_2026.pdf,abr,4,6,5.93,7.16
13_abril_2026.pdf,abr,4,7,5.98,7.16
13_abril_2026.pdf,abr,4,8,6.08,7.15
13_abril_2026.pdf,abr,4,9,6.2,7.15
13_abril_2026.pdf,abr,4,10,6.25,7.24
13_abril_2026.pdf,abr,4,11,6.25,7.24
13_abril_2026.pdf,abr,4,12,6.25,7.24
13_abril_2026.pdf,mar,3,28,6.33,5.97
13_abril_2026.pdf,mar,3,29,5.47,5.97
13_abril_2026.pdf,mar,3,31,5.47,5.82
13_abril_2026.pdf,abr,4,1,5.75,6.48
13_abril_2026.pdf,abr,4,2,5.73,6.48
13_abril_2026.pdf,abr,4,3,6.0,6.48
13_abril_2026.pdf,abr,4,4,5.95,6.48
13_abril_2026.pdf,abr,4,5,5.47,6.48
13_abril_2026.pdf,abr,4,6,5.79,6.48
13_abril_2026.pdf,abr,4,8,6.15,6.48
13_abril_2026.pdf,abr,4,9,6.29,6.48
13_abril_2026.pdf,abr,4,11,6.81,6.48
13_febrero_2026.pdf,ene,1,31,4.45,5.77
13_febrero_2026.pdf,feb,2,1,4.45,5.77
13_febrero_2026.pdf,feb,2,2,4.68,5.77
13_febrero_2026.pdf,feb,2,3,5.0,5.88
13_febrero_2026.pdf,feb,2,4,5.25,6.15
13_febrero_2026.pdf,feb,2,5,5.55,6.15
13_febrero_2026.pdf,feb,2,6,5.95,6.72
13_febrero_2026.pdf,feb,2,7,6.08,6.72
13_febrero_2026.pdf,feb,2,8,6.08,6.72
13_febrero_2026.pdf,feb,2,9,6.1,7.03
13_febrero_2026.pdf,feb,2,10,6.28,7.03
13_febrero_2026.pdf,feb,2,11,6.35,7.21
13_febrero_2026.pdf,feb,2,12,6.25,7.21
13_febrero_2026.pdf,ene,1,28,4.37,3.9
13_febrero_2026.pdf,ene,1,29,4.58,4.17
13_febrero_2026.pdf,ene,1,30,4.86,4.32
13_febrero_2026.pdf,ene,1,31,5.05,4.32
13_febrero_2026.pdf,feb,2,1,4.6,4.26
13_febrero_2026.pdf,feb,2,2,4.86,4.37
13_febrero_2026.pdf,feb,2,3,5.21,4.62
13_febrero_2026.pdf,feb,2,4,5.44,5.51
13_febrero_2026.pdf,feb,2,5,5.71,5.23
13_febrero_2026.pdf,feb,2,6,5.91,5.23
13_febrero_2026.pdf,feb,2,7,6.31,5.63
13_febrero_2026.pdf,feb,2,8,5.87,5.63
13_febrero_2026.pdf,feb,2,9,6.15,5.63
13_febrero_2026.pdf,feb,2,10,6.27,5.63
13_febrero_2026.pdf,feb,2,11,6.26,5.63
13_febrero_2026.pdf,feb,2,12,6.22,5.63
14_abril_2026.pdf,abr,4,1,5.95,7.31
14_abril_2026.pdf,abr,4,2,5.95,7.31
14_abril_2026.pdf,abr,4,3,5.95,7.31
14_abril_2026.pdf,abr,4,4,5.95,7.31
14_abril_2026.pdf,abr,4,5,5.95,7.31
14_abril_2026.pdf,abr,4,6,5.93,7.16
14_abril_2026.pdf,abr,4,7,5.98,7.16
14_abril_2026.pdf,abr,4,8,6.08,7.15
14_abril_2026.pdf,abr,4,9,6.2,7.15
14_abril_2026.pdf,abr,4,10,6.25,7.24
14_abril_2026.pdf,abr,4,11,6.25,7.24
14_abril_2026.pdf,abr,4,12,6.25,7.24
14_abril_2026.pdf,abr,4,13,6.25,7.37
14_abril_2026.pdf,mar,3,29,5.47,5.97
14_abril_2026.pdf,mar,3,31,5.47,5.82
14_abril_2026.pdf,abr,4,1,5.75,6.48
14_abril_2026.pdf,abr,4,2,5.73,6.48
14_abril_2026.pdf,abr,4,3,6.0,6.48
14_abril_2026.pdf,abr,4,4,5.95,6.48
14_abril_2026.pdf,abr,4,5,5.47,6.48
14_abril_2026.pdf,abr,4,6,5.79,6.48
14_abril_2026.pdf,abr,4,8,6.15,6.48
14_abril_2026.pdf,abr,4,9,6.29,6.48
14_abril_2026.pdf,abr,4,11,6.81,6.48
14_abril_2026.pdf,abr,4,12,6.06,6.48
14_abril_2026.pdf,abr,4,13,6.25,6.48
15_abril_2026.pdf,abr,4,2,5.95,7.31
15_abril_2026.pdf,abr,4,3,5.95,7.31
15_abril_2026.pdf,abr,4,4,5.95,7.31
15_abril_2026.pdf,abr,4,5,5.95,7.31
15_abril_2026.pdf,abr,4,6,5.93,7.16
15_abril_2026.pdf,abr,4,7,5.98,7.16
15_abril_2026.pdf,abr,4,8,6.08,7.15
15_abril_2026.pdf,abr,4,9,6.2,7.15
15_abril_2026.pdf,abr,4,10,6.25,7.24
15_abril_2026.pdf,abr,4,11,6.25,7.24
15_abril_2026.pdf,abr,4,12,6.25,7.24
15_abril_2026.pdf,abr,4,13,6.25,7.37
15_abril_2026.pdf,abr,4,14,6.25,7.37
15_abril_2026.pdf,mar,3,31,5.47,5.82
15_abril_2026.pdf,abr,4,1,5.75,6.48
15_abril_2026.pdf,abr,4,2,5.73,6.48
15_abril_2026.pdf,abr,4,3,6.0,6.48
15_abril_2026.pdf,abr,4,4,5.95,6.48
15_abril_2026.pdf,abr,4,5,5.47,6.48
15_abril_2026.pdf,abr,4,6,5.79,6.48
15_abril_2026.pdf,abr,4,8,6.15,6.48
15_abril_2026.pdf,abr,4,9,6.29,6.48
15_abril_2026.pdf,abr,4,11,6.81,6.48
15_abril_2026.pdf,abr,4,12,6.06,6.48
15_abril_2026.pdf,abr,4,13,6.25,6.48
15_diciembre_2025.pdf,dic,12,2,5.65,6.43
15_diciembre_2025.pdf,dic,12,3,5.73,6.54
15_diciembre_2025.pdf,dic,12,4,5.73,6.54
15_diciembre_2025.pdf,dic,12,5,5.73,6.75
15_diciembre_2025.pdf,dic,12,6,5.73,6.75
15_diciembre_2025.pdf,dic,12,7,5.73,6.75
15_diciembre_2025.pdf,dic,12,8,5.73,6.79
15_diciembre_2025.pdf,dic,12,9,5.73,6.79
15_diciembre_2025.pdf,dic,12,10,5.68,6.86
15_diciembre_2025.pdf,dic,12,11,5.58,6.86
15_diciembre_2025.pdf,dic,12,12,5.5,6.86
15_diciembre_2025.pdf,dic,12,13,5.5,6.86
15_diciembre_2025.pdf,dic,12,14,5.5,6.86
15_diciembre_2025.pdf,nov,11,30,5.13,4.23
15_diciembre_2025.pdf,dic,12,7,5.39,4.8
15_diciembre_2025.pdf,dic,12,9,5.18,4.8
15_diciembre_2025.pdf,dic,12,10,5.28,4.23
15_diciembre_2025.pdf,dic,12,11,5.04,6.73
15_diciembre_2025.pdf,dic,12,12,4.49,6.23
15_diciembre_2025.pdf,dic,12,13,5.47,6.23
15_diciembre_2025.pdf,dic,12,14,4.26,6.23
