pdf_name,mes,mes_num,dia,precio_ica,precio_libertad,precio_lima
09_abril_2026.pdf,mar,3,24,5.97,5.3,6.17
09_abril_2026.pdf,mar,3,25,5.99,5.2,5.56
09_abril_2026.pdf,mar,3,26,5.89,5.2,6.07
09_abril_2026.pdf,mar,3,30,5.88,4.88,5.97
09_abril_2026.pdf,abr,4,7,6.1,5.35,6.48
10_abril_2026.pdf,mar,3,25,5.99,5.2,5.56
10_abril_2026.pdf,mar,3,26,5.89,5.2,6.07
10_abril_2026.pdf,mar,3,30,5.88,4.88,5.97
10_abril_2026.pdf,abr,4,7,6.1,5.35,6.48
12_diciembre_2025.pdf,nov,11,26,5.03,4.8,4.23
12_diciembre_2025.pdf,nov,11,27,5.17,5.0,4.23
12_diciembre_2025.pdf,nov,11,28,5.22,5.1,4.23
12_diciembre_2025.pdf,nov,11,29,5.73,5.1,4.23
12_diciembre_2025.pdf,dic,12,1,5.45,5.6,4.23
12_diciembre_2025.pdf,dic,12,2,5.71,5.7,4.23
12_diciembre_2025.pdf,dic,12,3,5.88,5.8,4.23
12_diciembre_2025.pdf,dic,12,4,5.67,5.6,4.75
12_diciembre_2025.pdf,dic,12,5,5.76,5.3,4.8
12_diciembre_2025.pdf,dic,12,6,5.99,5.1,4.8
12_diciembre_2025.pdf,dic,12,8,5.73,4.8,4.23
13_abril_2026.pdf,mar,3,30,5.88,4.88,5.97
13_abril_2026.pdf,abr,4,7,6.1,5.35,6.48
13_abril_2026.pdf,abr,4,10,6.37,5.8,6.48
14_abril_2026.pdf,mar,3,30,5.88,4.88,5.97
14_abril_2026.pdf,abr,4,7,6.1,5.35,6.48
14_abril_2026.pdf,abr,4,10,6.37,5.8,6.48
15_abril_2026.pdf,mar,3,30,5.88,4.88,5.97
15_abril_2026.pdf,abr,4,7,6.1,5.35,6.48
15_abril_2026.pdf,abr,4,10,6.37,5.8,6.48
15_abril_2026.pdf,abr,4,14,6.36,5.75,6.1
15_diciembre_2025.pdf,nov,11,29,5.73,5.1,4.23
15_diciembre_2025.pdf,dic,12,1,5.45,5.6,4.23
15_diciembre_2025.pdf,dic,12,2,5.71,5.7,4.23
15_diciembre_2025.pdf,dic,12,3,5.88,5.8,4.23
15_diciembre_2025.pdf,dic,12,4,5.67,5.6,4.75
15_diciembre_2025.pdf,dic,12,5,5.76,5.3,4.8
15_diciembre_2025.pdf,dic,12,6,5.99,5.1,4.8
15_diciembre_2025.pdf,dic,12,8,5.73,4.8,4.23
16_abril_2026.pdf,abr,4,7,6.1,5.35,6.48
16_abril_2026.pdf,abr,4,10,6.37,5.8,6.48
16_abril_2026.pdf,abr,4,14,6.36,5.75,6.1
16_diciembre_2025.pdf,dic,12,1,5.45,5.6,4.23
16_diciembre_2025.pdf,dic,12,2,5.71,5.7,4.23
16_diciembre_2025.pdf,dic,12,3,5.88,5.8,4.23
16_diciembre_2025.pdf,dic,12,4,5.67,5.6,4.75
16_diciembre_2025.pdf,dic,12,5,5.76,5.3,4.8
16_diciembre_2025.pdf,dic,12,6,5.99,5.1,4.8
16_diciembre_2025.pdf,dic,12,8,5.73,4.8,4.23
16_setiembre_2025.pdf,sep,9,1,5.47,5.0,5.9
16_setiembre_2025.pdf,sep,9,2,5.43,5.0,5.9
16_setiembre_2025.pdf,sep,9,3,5.41,4.9,5.5
16_setiembre_2025.pdf,sep,9,4,5.31,4.8,5.5
16_setiembre_2025.pdf,sep,9,5,5.19,4.7,5.5
16_setiembre_2025.pdf,sep,9,6,5.22,4.6,5.4
16_setiembre_2025.pdf,sep,9,8,5.02,4.5,5.4
16_setiembre_2025.pdf,sep,9,9,5.09,4.5,5.4
16_setiembre_2025.pdf,sep,9,11,5.03,4.7,5.1
16_setiembre_2025.pdf,sep,9,12,4.88,4.7,5.1
16_setiembre_2025.pdf,sep,9,13,5.11,4.7,5.1
16_setiembre_2025.pdf,sep,9,15,5.14,4.9,5.1
17_abril_2026.pdf,abr,4,7,6.1,5.35,6.48
17_abril_2026.pdf,abr,4,10,6.37,5.8,6.48
17_abril_2026.pdf,abr,4,14,6.36,5.75,6.1
17_diciembre_2025.pdf,dic,12,1,5.45,5.6,4.23
17_diciembre_2025.pdf,dic,12,2,5.71,5.7,4.23
17_diciembre_2025.pdf,dic,12,3,5.88,5.8,4.23
17_diciembre_2025.pdf,dic,12,4,5.67,5.6,4.75
17_diciembre_2025.pdf,dic,12,5,5.76,5.3,4.8
17_diciembre_2025.pdf,dic,12,6,5.99,5.1,4.8
17_diciembre_2025.pdf,dic,12,8,5.73,4.8,4.23
17_diciembre_2025.pdf,dic,12,9,5.18,4.6,4.8
17_diciembre_2025.pdf,dic,12,10,5.28,4.4,4.23
17_diciembre_2025.pdf,dic,12,11,5.04,4.1,6.73
17_diciembre_2025.pdf,dic,12,12,4.49,3.8,6.23
17_diciembre_2025.pdf,dic,12,13,5.47,3.8,6.23
17_diciembre_2025.pdf,dic,12,15,4.86,3.4,6.23
17_noviembre_2025.pdf,nov,11,4,4.86,4.4,4.55
17_noviembre_2025.pdf,nov,11,6,4.92,4.2,4.55
17_noviembre_2025.pdf,nov,11,7,4.59,3.9,4.55
17_noviembre_2025.pdf,nov,11,8,4.91,3.9,4.55
17_noviembre_2025.pdf,nov,11,10,4.34,3.8,4.55
17_setiembre_2025.pdf,sep,9,1,5.47,5.0,5.9
17_setiembre_2025.pdf,sep,9,2,5.43,5.0,5.9
17_setiembre_2025.pdf,sep,9,3,5.41,4.9,5.5
17_setiembre_2025.pdf,sep,9,4,5.31,4.8,5.5
17_setiembre_2025.pdf,sep,9,5,5.19,4.7,5.5
17_setiembre_2025.pdf,sep,9,6,5.22,4.6,5.4
17_setiembre_2025.pdf,sep,9,8,5.02,4.5,5.4
17_setiembre_2025.pdf,sep,9,9,5.09,4.5,5.4
17_setiembre_2025.pdf,sep,9,11,5.03,4.7,5.1
17_setiembre_2025.pdf,sep,9,12,4.88,4.7,5.1
17_setiembre_2025.pdf,sep,9,13,5.11,4.7,5.1
17_setiembre_2025.pdf,sep,9,15,5.14,4.9,5.1
17_setiembre_2025.pdf,sep,9,16,5.29,4.9,5.1
18_diciembre_2025.pdf,dic,12,2,5.71,5.7,4.23
18_diciembre_2025.pdf,dic,12,3,5.88,5.8,4.23
18_diciembre_2025.pdf,dic,12,4,5.67,5.6,4.75
18_diciembre_2025.pdf,dic,12,5,5.76,5.3,4.8
18_diciembre_2025.pdf,dic,12,6,5.99,5.1,4.8
18_diciembre_2025.pdf,dic,12,8,5.73,4.8,4.23
18_diciembre_2025.pdf,dic,12,9,5.18,4.6,4.8
18_diciembre_2025.pdf,dic,12,10,5.28,4.4,4.23
18_diciembre_2025.pdf,dic,12,11,5.04,4.1,6.73
18_diciembre_2025.pdf,dic,12,12,4.49,3.8,6.23
18_diciembre_2025.pdf,dic,12,13,5.47,3.8,6.23
18_diciembre_2025.pdf,dic,12,15,4.86,3.4,6.23
18_diciembre_2025.pdf,dic,12,16,4.39,3.4,6.23
18_diciembre_2025.pdf,dic,12,17,3.76,3.1,6.23
18_marzo_2026.pdf,mar,3,11,6.19,5.8,6.27
18_marzo_2026.pdf,mar,3,12,6.66,5.85,6.38
18_marzo_2026.pdf,mar,3,14,7.12,5.85,6.09
18_marzo_2026.pdf,mar,3,16,6.49,6.0,6.12
18_marzo_2026.pdf,mar,3,17,6.67,5.78,6.68
18_noviembre_2025.pdf,nov,11,4,4.86,4.4,4.55
18_noviembre_2025.pdf,nov,11,6,4.92,4.2,4.55
18_noviembre_2025.pdf,nov,11,7,4.59,3.9,4.55
18_noviembre_2025.pdf,nov,11,8,4.91,3.9,4.55
18_noviembre_2025.pdf,nov,11,10,4.34,3.8,4.55
18_noviembre_2025.pdf,nov,11,11,4.34,3.7,4.55
18_noviembre_2025.pdf,nov,11,12,4.29,3.7,4.53
18_noviembre_2025.pdf,nov,11,13,4.15,3.7,4.53
18_noviembre_2025.pdf,nov,11,14,4.61,3.7,4.53
18_noviembre_2025.pdf,nov,11,15,4.61,3.7,4.53
18_noviembre_2025.pdf,nov,11,17,4.17,3.7,4.53
18_setiembre_2025.pdf,sep,9,2,5.43,5.0,5.9
18_setiembre_2025.pdf,sep,9,3,5.41,4.9,5.5
18_setiembre_2025.pdf,sep,9,4,5.31,4.8,5.5
18_setiembre_2025.pdf,sep,9,5,5.19,4.7,5.5
18_setiembre_2025.pdf,sep,9,6,5.22,4.6,5.4
18_setiembre_2025.pdf,sep,9,8,5.02,4.5,5.4
18_setiembre_2025.pdf,sep,9,9,5.09,4.5,5.4
18_setiembre_2025.pdf,sep,9,11,5.03,4.7,5.1
